Qualitative study of local cultural wisdom and health services on stunting events,https://scholar.google.com/scholar?q=+intitle:'Qualitative study of local cultural wisdom and health services on stunting events',,"Indonesian Journal of Medical Anthropology (IJMA) 3 (1), 1-7, 2030",2030,4 cited
Journal Homepage:-www. journalijar. com,https://scholar.google.com/scholar?q=+intitle:'Journal Homepage:-www. journalijar. com',,"AGE 52 (6.22), 51.33, 2030",2030,0 cited
Legal Consequences for Abandoned Land Based on Indonesian Law,https://scholar.google.com/scholar?q=+intitle:'Legal Consequences for Abandoned Land Based on Indonesian Law',,"International Journal of Multicultural and Multireligious Understanding 11 …, 2026",2026,0 cited
Enhancing critical thinking in elementary education: A systematic review of effective learning models,https://scholar.google.com/scholar?q=+intitle:'Enhancing critical thinking in elementary education: A systematic review of effective learning models',,"Multidisciplinary Reviews 8 (6), 2025157-2025157, 2025",2025,0 cited
Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review,https://scholar.google.com/scholar?q=+intitle:'Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review',,"Lectura: Jurnal Pendidikan 16 (1), 201-213, 2025",2025,0 cited
Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures,https://scholar.google.com/scholar?q=+intitle:'Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures',,"Forest and Nature 1 (1), 1-8, 2025",2025,0 cited
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,https://scholar.google.com/scholar?q=+intitle:'Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates',,"Jurnal Sylva Lestari 13 (1), 248-263, 2025",2025,0 cited
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …,https://scholar.google.com/scholar?q=+intitle:'Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …',,"Journal of Multidisciplinary Applied Natural Science 5 (1), 56-73, 2025",2025,1 cited
Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus,https://scholar.google.com/scholar?q=+intitle:'Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus',,"Pure and Applied Chemistry, 2025",2025,0 cited
Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District,https://scholar.google.com/scholar?q=+intitle:'Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District',,"RA JOURNAL OF APPLIED RESEARCH 8 (2), 156-165, 2030",2030,0 cited
Qualitative study of local cultural wisdom and health services on stunting events,https://scholar.google.com/scholar?q=+intitle:'Qualitative study of local cultural wisdom and health services on stunting events',,"Indonesian Journal of Medical Anthropology (IJMA) 3 (1), 1-7, 2030",2030,4 cited
Journal Homepage:-www. journalijar. com,https://scholar.google.com/scholar?q=+intitle:'Journal Homepage:-www. journalijar. com',,"AGE 52 (6.22), 51.33, 2030",2030,0 cited
Legal Consequences for Abandoned Land Based on Indonesian Law,https://scholar.google.com/scholar?q=+intitle:'Legal Consequences for Abandoned Land Based on Indonesian Law',,"International Journal of Multicultural and Multireligious Understanding 11 …, 2026",2026,0 cited
Enhancing critical thinking in elementary education: A systematic review of effective learning models,https://scholar.google.com/scholar?q=+intitle:'Enhancing critical thinking in elementary education: A systematic review of effective learning models',,"Multidisciplinary Reviews 8 (6), 2025157-2025157, 2025",2025,0 cited
Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review,https://scholar.google.com/scholar?q=+intitle:'Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review',,"Lectura: Jurnal Pendidikan 16 (1), 201-213, 2025",2025,0 cited
Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures,https://scholar.google.com/scholar?q=+intitle:'Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures',,"Forest and Nature 1 (1), 1-8, 2025",2025,0 cited
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,https://scholar.google.com/scholar?q=+intitle:'Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates',,"Jurnal Sylva Lestari 13 (1), 248-263, 2025",2025,0 cited
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …,https://scholar.google.com/scholar?q=+intitle:'Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …',,"Journal of Multidisciplinary Applied Natural Science 5 (1), 56-73, 2025",2025,1 cited
Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus,https://scholar.google.com/scholar?q=+intitle:'Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus',,"Pure and Applied Chemistry, 2025",2025,0 cited
Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District,https://scholar.google.com/scholar?q=+intitle:'Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District',,"RA JOURNAL OF APPLIED RESEARCH 8 (2), 156-165, 2030",2030,0 cited
Qualitative study of local cultural wisdom and health services on stunting events,https://scholar.google.com/scholar?q=+intitle:'Qualitative study of local cultural wisdom and health services on stunting events',,"Indonesian Journal of Medical Anthropology (IJMA) 3 (1), 1-7, 2030",2030,4 cited
Journal Homepage:-www. journalijar. com,https://scholar.google.com/scholar?q=+intitle:'Journal Homepage:-www. journalijar. com',,"AGE 52 (6.22), 51.33, 2030",2030,0 cited
Legal Consequences for Abandoned Land Based on Indonesian Law,https://scholar.google.com/scholar?q=+intitle:'Legal Consequences for Abandoned Land Based on Indonesian Law',,"International Journal of Multicultural and Multireligious Understanding 11 …, 2026",2026,0 cited
Enhancing critical thinking in elementary education: A systematic review of effective learning models,https://scholar.google.com/scholar?q=+intitle:'Enhancing critical thinking in elementary education: A systematic review of effective learning models',,"Multidisciplinary Reviews 8 (6), 2025157-2025157, 2025",2025,0 cited
Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review,https://scholar.google.com/scholar?q=+intitle:'Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review',,"Lectura: Jurnal Pendidikan 16 (1), 201-213, 2025",2025,0 cited
Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures,https://scholar.google.com/scholar?q=+intitle:'Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures',,"Forest and Nature 1 (1), 1-8, 2025",2025,0 cited
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,https://scholar.google.com/scholar?q=+intitle:'Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates',,"Jurnal Sylva Lestari 13 (1), 248-263, 2025",2025,0 cited
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …,https://scholar.google.com/scholar?q=+intitle:'Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …',,"Journal of Multidisciplinary Applied Natural Science 5 (1), 56-73, 2025",2025,1 cited
Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus,https://scholar.google.com/scholar?q=+intitle:'Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus',,"Pure and Applied Chemistry, 2025",2025,0 cited
Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District,https://scholar.google.com/scholar?q=+intitle:'Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District',,"RA JOURNAL OF APPLIED RESEARCH 8 (2), 156-165, 2030",2030,0 cited
Qualitative study of local cultural wisdom and health services on stunting events,https://scholar.google.com/scholar?q=+intitle:'Qualitative study of local cultural wisdom and health services on stunting events',,"Indonesian Journal of Medical Anthropology (IJMA) 3 (1), 1-7, 2030",2030,4 cited
Journal Homepage:-www. journalijar. com,https://scholar.google.com/scholar?q=+intitle:'Journal Homepage:-www. journalijar. com',,"AGE 52 (6.22), 51.33, 2030",2030,0 cited
Legal Consequences for Abandoned Land Based on Indonesian Law,https://scholar.google.com/scholar?q=+intitle:'Legal Consequences for Abandoned Land Based on Indonesian Law',,"International Journal of Multicultural and Multireligious Understanding 11 …, 2026",2026,0 cited
Enhancing critical thinking in elementary education: A systematic review of effective learning models,https://scholar.google.com/scholar?q=+intitle:'Enhancing critical thinking in elementary education: A systematic review of effective learning models',,"Multidisciplinary Reviews 8 (6), 2025157-2025157, 2025",2025,0 cited
Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review,https://scholar.google.com/scholar?q=+intitle:'Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review',,"Lectura: Jurnal Pendidikan 16 (1), 201-213, 2025",2025,0 cited
Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures,https://scholar.google.com/scholar?q=+intitle:'Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures',,"Forest and Nature 1 (1), 1-8, 2025",2025,0 cited
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,https://scholar.google.com/scholar?q=+intitle:'Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates',,"Jurnal Sylva Lestari 13 (1), 248-263, 2025",2025,0 cited
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …,https://scholar.google.com/scholar?q=+intitle:'Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …',,"Journal of Multidisciplinary Applied Natural Science 5 (1), 56-73, 2025",2025,1 cited
Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus,https://scholar.google.com/scholar?q=+intitle:'Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus',,"Pure and Applied Chemistry, 2025",2025,0 cited
Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District,https://scholar.google.com/scholar?q=+intitle:'Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District',,"RA JOURNAL OF APPLIED RESEARCH 8 (2), 156-165, 2030",2030,0 cited
Qualitative study of local cultural wisdom and health services on stunting events,https://scholar.google.com/scholar?q=+intitle:'Qualitative study of local cultural wisdom and health services on stunting events',,"Indonesian Journal of Medical Anthropology (IJMA) 3 (1), 1-7, 2030",2030,4 cited
Journal Homepage:-www. journalijar. com,https://scholar.google.com/scholar?q=+intitle:'Journal Homepage:-www. journalijar. com',,"AGE 52 (6.22), 51.33, 2030",2030,0 cited
Legal Consequences for Abandoned Land Based on Indonesian Law,https://scholar.google.com/scholar?q=+intitle:'Legal Consequences for Abandoned Land Based on Indonesian Law',,"International Journal of Multicultural and Multireligious Understanding 11 …, 2026",2026,0 cited
Enhancing critical thinking in elementary education: A systematic review of effective learning models,https://scholar.google.com/scholar?q=+intitle:'Enhancing critical thinking in elementary education: A systematic review of effective learning models',,"Multidisciplinary Reviews 8 (6), 2025157-2025157, 2025",2025,0 cited
Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review,https://scholar.google.com/scholar?q=+intitle:'Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review',,"Lectura: Jurnal Pendidikan 16 (1), 201-213, 2025",2025,0 cited
Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures,https://scholar.google.com/scholar?q=+intitle:'Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures',,"Forest and Nature 1 (1), 1-8, 2025",2025,0 cited
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,https://scholar.google.com/scholar?q=+intitle:'Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates',,"Jurnal Sylva Lestari 13 (1), 248-263, 2025",2025,0 cited
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …,https://scholar.google.com/scholar?q=+intitle:'Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …',,"Journal of Multidisciplinary Applied Natural Science 5 (1), 56-73, 2025",2025,1 cited
Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus,https://scholar.google.com/scholar?q=+intitle:'Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus',,"Pure and Applied Chemistry, 2025",2025,0 cited
Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District,https://scholar.google.com/scholar?q=+intitle:'Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District',,"RA JOURNAL OF APPLIED RESEARCH 8 (2), 156-165, 2030",2030,0 cited
Qualitative study of local cultural wisdom and health services on stunting events,https://scholar.google.com/scholar?q=+intitle:'Qualitative study of local cultural wisdom and health services on stunting events',,"Indonesian Journal of Medical Anthropology (IJMA) 3 (1), 1-7, 2030",2030,4 cited
Journal Homepage:-www. journalijar. com,https://scholar.google.com/scholar?q=+intitle:'Journal Homepage:-www. journalijar. com',,"AGE 52 (6.22), 51.33, 2030",2030,0 cited
Legal Consequences for Abandoned Land Based on Indonesian Law,https://scholar.google.com/scholar?q=+intitle:'Legal Consequences for Abandoned Land Based on Indonesian Law',,"International Journal of Multicultural and Multireligious Understanding 11 …, 2026",2026,0 cited
Enhancing critical thinking in elementary education: A systematic review of effective learning models,https://scholar.google.com/scholar?q=+intitle:'Enhancing critical thinking in elementary education: A systematic review of effective learning models',,"Multidisciplinary Reviews 8 (6), 2025157-2025157, 2025",2025,0 cited
Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review,https://scholar.google.com/scholar?q=+intitle:'Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review',,"Lectura: Jurnal Pendidikan 16 (1), 201-213, 2025",2025,0 cited
Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures,https://scholar.google.com/scholar?q=+intitle:'Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures',,"Forest and Nature 1 (1), 1-8, 2025",2025,0 cited
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,https://scholar.google.com/scholar?q=+intitle:'Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates',,"Jurnal Sylva Lestari 13 (1), 248-263, 2025",2025,0 cited
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …,https://scholar.google.com/scholar?q=+intitle:'Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …',,"Journal of Multidisciplinary Applied Natural Science 5 (1), 56-73, 2025",2025,1 cited
Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus,https://scholar.google.com/scholar?q=+intitle:'Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus',,"Pure and Applied Chemistry, 2025",2025,0 cited
Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District,https://scholar.google.com/scholar?q=+intitle:'Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District',,"RA JOURNAL OF APPLIED RESEARCH 8 (2), 156-165, 2030",2030,0 cited
Qualitative study of local cultural wisdom and health services on stunting events,https://scholar.google.com/scholar?q=+intitle:'Qualitative study of local cultural wisdom and health services on stunting events',,"Indonesian Journal of Medical Anthropology (IJMA) 3 (1), 1-7, 2030",2030,4 cited
Journal Homepage:-www. journalijar. com,https://scholar.google.com/scholar?q=+intitle:'Journal Homepage:-www. journalijar. com',,"AGE 52 (6.22), 51.33, 2030",2030,0 cited
Legal Consequences for Abandoned Land Based on Indonesian Law,https://scholar.google.com/scholar?q=+intitle:'Legal Consequences for Abandoned Land Based on Indonesian Law',,"International Journal of Multicultural and Multireligious Understanding 11 …, 2026",2026,0 cited
Enhancing critical thinking in elementary education: A systematic review of effective learning models,https://scholar.google.com/scholar?q=+intitle:'Enhancing critical thinking in elementary education: A systematic review of effective learning models',,"Multidisciplinary Reviews 8 (6), 2025157-2025157, 2025",2025,0 cited
Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review,https://scholar.google.com/scholar?q=+intitle:'Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review',,"Lectura: Jurnal Pendidikan 16 (1), 201-213, 2025",2025,0 cited
Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures,https://scholar.google.com/scholar?q=+intitle:'Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures',,"Forest and Nature 1 (1), 1-8, 2025",2025,0 cited
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,https://scholar.google.com/scholar?q=+intitle:'Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates',,"Jurnal Sylva Lestari 13 (1), 248-263, 2025",2025,0 cited
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …,https://scholar.google.com/scholar?q=+intitle:'Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …',,"Journal of Multidisciplinary Applied Natural Science 5 (1), 56-73, 2025",2025,1 cited
Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus,https://scholar.google.com/scholar?q=+intitle:'Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus',,"Pure and Applied Chemistry, 2025",2025,0 cited
Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District,https://scholar.google.com/scholar?q=+intitle:'Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District',,"RA JOURNAL OF APPLIED RESEARCH 8 (2), 156-165, 2030",2030,0 cited
Qualitative study of local cultural wisdom and health services on stunting events,https://scholar.google.com/scholar?q=+intitle:'Qualitative study of local cultural wisdom and health services on stunting events',,"Indonesian Journal of Medical Anthropology (IJMA) 3 (1), 1-7, 2030",2030,4 cited
Journal Homepage:-www. journalijar. com,https://scholar.google.com/scholar?q=+intitle:'Journal Homepage:-www. journalijar. com',,"AGE 52 (6.22), 51.33, 2030",2030,0 cited
Legal Consequences for Abandoned Land Based on Indonesian Law,https://scholar.google.com/scholar?q=+intitle:'Legal Consequences for Abandoned Land Based on Indonesian Law',,"International Journal of Multicultural and Multireligious Understanding 11 …, 2026",2026,0 cited
Enhancing critical thinking in elementary education: A systematic review of effective learning models,https://scholar.google.com/scholar?q=+intitle:'Enhancing critical thinking in elementary education: A systematic review of effective learning models',,"Multidisciplinary Reviews 8 (6), 2025157-2025157, 2025",2025,0 cited
Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review,https://scholar.google.com/scholar?q=+intitle:'Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review',,"Lectura: Jurnal Pendidikan 16 (1), 201-213, 2025",2025,0 cited
Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures,https://scholar.google.com/scholar?q=+intitle:'Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures',,"Forest and Nature 1 (1), 1-8, 2025",2025,0 cited
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,https://scholar.google.com/scholar?q=+intitle:'Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates',,"Jurnal Sylva Lestari 13 (1), 248-263, 2025",2025,0 cited
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …,https://scholar.google.com/scholar?q=+intitle:'Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …',,"Journal of Multidisciplinary Applied Natural Science 5 (1), 56-73, 2025",2025,1 cited
Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus,https://scholar.google.com/scholar?q=+intitle:'Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus',,"Pure and Applied Chemistry, 2025",2025,0 cited
Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District,https://scholar.google.com/scholar?q=+intitle:'Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District',,"RA JOURNAL OF APPLIED RESEARCH 8 (2), 156-165, 2030",2030,0 cited
Qualitative study of local cultural wisdom and health services on stunting events,https://scholar.google.com/scholar?q=+intitle:'Qualitative study of local cultural wisdom and health services on stunting events',,"Indonesian Journal of Medical Anthropology (IJMA) 3 (1), 1-7, 2030",2030,4 cited
Journal Homepage:-www. journalijar. com,https://scholar.google.com/scholar?q=+intitle:'Journal Homepage:-www. journalijar. com',,"AGE 52 (6.22), 51.33, 2030",2030,0 cited
Legal Consequences for Abandoned Land Based on Indonesian Law,https://scholar.google.com/scholar?q=+intitle:'Legal Consequences for Abandoned Land Based on Indonesian Law',,"International Journal of Multicultural and Multireligious Understanding 11 …, 2026",2026,0 cited
Enhancing critical thinking in elementary education: A systematic review of effective learning models,https://scholar.google.com/scholar?q=+intitle:'Enhancing critical thinking in elementary education: A systematic review of effective learning models',,"Multidisciplinary Reviews 8 (6), 2025157-2025157, 2025",2025,0 cited
Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review,https://scholar.google.com/scholar?q=+intitle:'Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review',,"Lectura: Jurnal Pendidikan 16 (1), 201-213, 2025",2025,0 cited
Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures,https://scholar.google.com/scholar?q=+intitle:'Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures',,"Forest and Nature 1 (1), 1-8, 2025",2025,0 cited
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,https://scholar.google.com/scholar?q=+intitle:'Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates',,"Jurnal Sylva Lestari 13 (1), 248-263, 2025",2025,0 cited
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …,https://scholar.google.com/scholar?q=+intitle:'Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …',,"Journal of Multidisciplinary Applied Natural Science 5 (1), 56-73, 2025",2025,1 cited
Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus,https://scholar.google.com/scholar?q=+intitle:'Effect of chemical modification using glyoxylic acid on the stability of α-amylase from Aspergillus fumigatus',,"Pure and Applied Chemistry, 2025",2025,0 cited
Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District,https://scholar.google.com/scholar?q=+intitle:'Structural Equality Model the Influence of Socio-Cultural and Socio-Economic Status on Postpartum Status in Way Kanan District',,"RA JOURNAL OF APPLIED RESEARCH 8 (2), 156-165, 2030",2030,0 cited
Qualitative study of local cultural wisdom and health services on stunting events,https://scholar.google.com/scholar?q=+intitle:'Qualitative study of local cultural wisdom and health services on stunting events',,"Indonesian Journal of Medical Anthropology (IJMA) 3 (1), 1-7, 2030",2030,4 cited
Journal Homepage:-www. journalijar. com,https://scholar.google.com/scholar?q=+intitle:'Journal Homepage:-www. journalijar. com',,"AGE 52 (6.22), 51.33, 2030",2030,0 cited
Legal Consequences for Abandoned Land Based on Indonesian Law,https://scholar.google.com/scholar?q=+intitle:'Legal Consequences for Abandoned Land Based on Indonesian Law',,"International Journal of Multicultural and Multireligious Understanding 11 …, 2026",2026,0 cited
Enhancing critical thinking in elementary education: A systematic review of effective learning models,https://scholar.google.com/scholar?q=+intitle:'Enhancing critical thinking in elementary education: A systematic review of effective learning models',,"Multidisciplinary Reviews 8 (6), 2025157-2025157, 2025",2025,0 cited
Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review,https://scholar.google.com/scholar?q=+intitle:'Factors Influencing Teacher Organizational Citizenship Behavior: A Literature Review',,"Lectura: Jurnal Pendidikan 16 (1), 201-213, 2025",2025,0 cited
Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures,https://scholar.google.com/scholar?q=+intitle:'Harnessing the Blue Economy: Ethnobotanical Insights into Mangrove-Derived Functional Foods for Climate-Resilient Futures',,"Forest and Nature 1 (1), 1-8, 2025",2025,0 cited
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,https://scholar.google.com/scholar?q=+intitle:'Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates',,"Jurnal Sylva Lestari 13 (1), 248-263, 2025",2025,0 cited
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …,https://scholar.google.com/scholar?q=+intitle:'Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti …',,"Journal of Multidisciplinary Applied Natural Science 5 (1), 56-73, 2025",2025,1 cited
